labID,age,error,depth,cc,delta.R,delta.STD
LLANADA,-69,1,0,0,0,0
LLANADA,-24,28,36,1,0,0
LLANADA,5685,49,53,1,0,0
LLANADA,6980,46,73,1,0,0
LLANADA,11911,49,113,1,0,0
LLANADA,11691,48,137,1,0,0
LLANADA,13686,66,222,1,0,0
