labID,age,error,depth,cc,delta.R,delta.STD
ERMSTANCADA,-69,1,0,0,0,0
ERMSTANCADA,-150,38,35,1,0,0
ERMSTANCADA,5646,57,44,1,0,0
ERMSTANCADA,2954,30,88,1,0,0
ERMSTANCADA,3201,43,130,1,0,0
ERMSTANCADA,1219,24,154,1,0,0
ERMSTANCADA,1070,29,176,1,0,0
ERMSTANCADA,1100,27,196,1,0,0
ERMSTANCADA,2790,37,238,1,0,0
