labID,age,error,depth,cc,delta.R,delta.STD
ERMSTANCADA,-69,1,0,0,0,0
ERMSTANCADA,-150,38,35,1,0,0
ERMSTANCADA,1219,24,154,1,0,0
ERMSTANCADA,1070,29,176,1,0,0
ERMSTANCADA,1100,27,196,1,0,0
