CoreID,Sample,Section,Al-KaChi2,Al-KaArea,Al-KaAreaStd,Si-KaChi2,Si-KaArea,Si-KaAreaStd,P-KaChi2,P-KaArea,P-KaAreaStd,S-KaChi2,S-KaArea,S-KaAreaStd,Cl-KaChi2,Cl-KaArea,Cl-KaAreaStd,Ar-KaChi2,Ar-KaArea,Ar-KaAreaStd,K-KaChi2,K-KaArea,K-KaAreaStd,Ca-KaChi2,Ca-KaArea,Ca-KaAreaStd,Ti-KaChi2,Ti-KaArea,Ti-KaAreaStd,V-KaChi2,V-KaArea,V-KaAreaStd,Cr-KaChi2,Cr-KaArea,Cr-KaAreaStd,Mn-KaChi2,Mn-KaArea,Mn-KaAreaStd,Fe-KaChi2,Fe-KaArea,Fe-KaAreaStd,Rh-La-IncChi2,Rh-La-IncArea,Rh-La-IncAreaStd,Rh-La-CohChi2,Rh-La-CohArea,Rh-La-CohAreaStd,Ni-KaChi2,Ni-KaArea,Ni-KaAreaStd,Cu-KaChi2,Cu-KaArea,Cu-KaAreaStd,Zn-KaChi2,Zn-KaArea,Zn-KaAreaStd,Ga-KaChi2,Ga-KaArea,Ga-KaAreaStd,As-KbChi2,As-KbArea,As-KbAreaStd,Se-KaChi2,Se-KaArea,Se-KaAreaStd,Br-KaChi2,Br-KaArea,Br-KaAreaStd,Rb-KaChi2,Rb-KaArea,Rb-KaAreaStd,Sr-KaChi2,Sr-KaArea,Sr-KaAreaStd,Y-KaChi2,Y-KaArea,Y-KaAreaStd,Zr-KaChi2,Zr-KaArea,Zr-KaAreaStd,Nb-KaChi2,Nb-KaArea,Nb-KaAreaStd,Mo-KaChi2,Mo-KaArea,Mo-KaAreaStd,Rh-Ka-CohChi2,Rh-Ka-CohArea,Rh-Ka-CohAreaStd,Rh-Ka-IncChi2,Rh-Ka-IncArea,Rh-Ka-IncAreaStd,Au-LaChi2,Au-LaArea,Au-LaAreaStd,Pb-LaChi2,Pb-LaArea,Pb-LaAreaStd
ENCANYISSADAa,720,1,0.9,471,64,6.1,27404,181,2.2,-258,74,4.7,1132,103,0.9,1338,340,2.9,-4256,453,6.6,8674,182,2.1,192137,644,0.7,2894,148,0.8,283,144,0.9,273,157,1,984,156,3.2,39763,284,0,-4599,1,2.1,50914,457,1.9,548,40,0.7,113,27,0.9,437,34,0.6,150,29,0.8,580,104,0.7,37,28,0.5,201,32,0.9,4609,87,0.8,21951,170,0.6,941,104,1.2,5828,164,0.5,612,170,0.4,790,214,1.1,42433,427,1.1,81137,676,0.7,222,28,1,304,47
ENCANYISSADAa,730,1,0.9,734,65,6.5,32009,193,1.7,-182,74,3.1,1531,104,1.4,1122,333,3.2,-5181,451,5.3,10226,186,3.5,177300,610,0.7,3609,154,0.6,534,148,0.7,509,166,0.7,1160,161,3.6,46705,303,0,-4806,1,1.9,51000,452,1,575,39,0.6,169,28,0.9,454,34,0.7,191,29,0.5,518,105,0.5,65,29,0.4,182,34,1.1,5183,92,0.8,21234,168,0.6,1234,108,0.8,5247,162,0.5,444,171,0.4,354,216,1.9,43757,434,1.1,83161,685,0.5,215,28,0.6,297,49
ENCANYISSADAa,740,1,0.6,1100,70,6.8,47593,230,1.1,-194,76,2.9,862,99,0.8,1638,305,3,-3911,441,6.3,13405,194,3.9,225082,675,0.7,2964,142,1,424,139,1.1,145,158,0.5,717,151,4.5,36002,266,0,-4391,1,2,45280,421,1.6,568,39,0.7,115,27,0.5,430,33,0.7,170,29,0.8,436,103,0.7,79,29,0.4,157,34,1.2,5219,91,0.7,21855,168,0.5,1361,105,0.8,5600,162,0.4,719,169,0.7,620,213,1.5,43598,432,1.2,80795,679,0.9,213,28,1,258,48
ENCANYISSADAa,750,1,1.3,996,70,6.3,41206,217,1.7,-264,77,3.8,249,95,0.8,1371,311,4.2,-5115,444,5.2,10982,190,2.6,236004,695,0.6,3605,144,0.7,396,141,0.5,-37,156,0.5,723,153,5.5,38475,272,0,-5993,1,1.7,47161,428,1.7,564,41,0.4,125,28,0.8,441,34,0.9,171,29,0.6,401,101,0.4,55,28,0.7,173,32,0.8,5129,91,1,21254,167,1,947,104,0.4,5533,162,0.6,853,168,0.8,570,214,0.9,44331,432,1.2,79299,679,0.9,209,28,0.7,225,48
ENCANYISSADAa,760,1,0.8,607,65,6.4,29990,188,1.2,-129,75,3.1,-126,94,1.4,1641,326,3.7,-5109,457,5.2,8603,184,2.7,232475,703,0.5,2958,146,0.6,272,142,1.7,455,155,0.7,1080,158,5,36325,271,0,-6240,1,1.3,49067,444,1.5,590,40,0.5,141,29,1.1,399,33,0.6,205,29,0,265,1,0.6,33,29,0.5,191,33,1,4503,87,0.6,21584,169,0.5,1219,107,0.6,6833,167,0.7,888,171,0.3,419,216,1.2,44003,431,0.8,80073,676,0.6,199,28,0.7,352,28
ENCANYISSADAa,770,1,0.7,589,62,4.4,26346,177,2,-102,72,2.3,105,94,0.7,2009,334,3.3,-4053,458,7.9,10859,191,2.4,198585,658,1,3368,152,0.5,312,147,1.4,93,158,0.7,1053,159,5,36511,276,0,-4798,1,1.6,48834,449,1.8,575,41,0.6,157,28,0.7,388,33,0.6,156,29,0.6,102,97,0.8,37,28,1.1,207,33,1.3,4793,90,0.9,20613,166,0.8,1335,106,1,6062,164,0.6,672,171,0.8,535,215,1.3,43823,433,0.7,80629,679,0.6,227,28,0.6,284,48
ENCANYISSADAa,780,1,1.3,532,65,6.2,27359,181,2.3,-171,79,5.2,-165,97,1,1832,344,3.4,-5086,469,4.8,8964,189,2.9,273410,762,0.8,2654,148,0.5,321,146,1,291,154,0.5,867,158,3.9,38409,276,0,-4548,1,2.3,53915,465,1.5,611,42,0.4,160,28,0.7,448,34,0.7,170,29,0.7,186,85,0.5,13,28,0.5,170,33,0.9,4643,89,0.7,22090,170,0.7,1204,105,0.6,5615,164,0.8,444,170,0.6,548,216,0.9,45465,435,1.2,80998,684,0.7,255,29,0.6,262,47
ENCANYISSADAa,790,1,1,604,68,10.7,35137,203,2.1,-353,79,3.8,187,96,0.8,1436,317,4.2,-4987,451,4.3,9918,187,4.2,273639,749,0.8,2619,142,0.3,34,140,0.5,68,152,0.5,1305,155,7,36141,265,0,-4830,1,1.5,48364,436,1.8,569,40,0.5,157,27,0.6,373,33,0.4,203,30,0.9,425,100,0.6,91,28,0.4,143,33,0.7,4415,86,0.9,23731,174,0.5,1335,105,0.9,7001,167,0.6,698,167,0.5,473,211,0.9,44093,428,1,78388,668,0.8,211,28,0.9,242,47
ENCANYISSADAa,800,1,0.6,566,62,6.9,24860,173,1.6,-231,75,2.9,103,96,0.7,1609,322,2.5,-3568,449,5.2,8678,183,4.1,231862,704,0.4,2825,144,0.3,318,141,0.4,705,152,0.8,1006,154,3.1,39440,274,0,-4704,1,2.1,46393,434,2.4,627,39,0.5,158,26,0.9,397,32,0.5,149,27,0.6,374,96,0.5,22,29,0.6,147,31,0.8,3968,83,0.7,21661,167,0.3,1206,102,1.1,6174,160,0.5,827,163,0.9,663,207,0.9,41150,405,1.4,74920,634,1,207,26,0.8,287,37
ENCANYISSADAa,810,1,1,545,60,6.9,22549,165,0.8,-169,71,1.2,405,89,1.4,2096,297,2.8,-2400,418,4.2,7782,169,3.2,200181,653,0.6,1891,127,0.4,257,128,0.8,431,139,0.6,699,140,4.2,27753,235,0,-3025,1,1.5,37585,398,1.7,508,36,0.5,120,25,0.8,340,30,0.5,89,26,0.8,333,91,0.7,65,26,0.9,202,29,1,3736,79,0.6,16887,150,0.8,896,93,0.8,4197,143,0.6,371,149,0.5,661,189,1,33223,376,0.7,60478,597,1.2,150,25,0.8,233,40
