CoreID,Sample,Section,Al-KaChi2,Al-KaArea,Al-KaAreaStd,Si-KaChi2,Si-KaArea,Si-KaAreaStd,P-KaChi2,P-KaArea,P-KaAreaStd,S-KaChi2,S-KaArea,S-KaAreaStd,Cl-KaChi2,Cl-KaArea,Cl-KaAreaStd,Ar-KaChi2,Ar-KaArea,Ar-KaAreaStd,K-KaChi2,K-KaArea,K-KaAreaStd,Ca-KaChi2,Ca-KaArea,Ca-KaAreaStd,Ti-KaChi2,Ti-KaArea,Ti-KaAreaStd,V-KaChi2,V-KaArea,V-KaAreaStd,Cr-KaChi2,Cr-KaArea,Cr-KaAreaStd,Mn-KaChi2,Mn-KaArea,Mn-KaAreaStd,Fe-KaChi2,Fe-KaArea,Fe-KaAreaStd,Rh-La-IncChi2,Rh-La-IncArea,Rh-La-IncAreaStd,Rh-La-CohChi2,Rh-La-CohArea,Rh-La-CohAreaStd,Ni-KaChi2,Ni-KaArea,Ni-KaAreaStd,Cu-KaChi2,Cu-KaArea,Cu-KaAreaStd,Zn-KaChi2,Zn-KaArea,Zn-KaAreaStd,Ga-KaChi2,Ga-KaArea,Ga-KaAreaStd,As-KbChi2,As-KbArea,As-KbAreaStd,Se-KaChi2,Se-KaArea,Se-KaAreaStd,Br-KaChi2,Br-KaArea,Br-KaAreaStd,Rb-KaChi2,Rb-KaArea,Rb-KaAreaStd,Sr-KaChi2,Sr-KaArea,Sr-KaAreaStd,Y-KaChi2,Y-KaArea,Y-KaAreaStd,Zr-KaChi2,Zr-KaArea,Zr-KaAreaStd,Nb-KaChi2,Nb-KaArea,Nb-KaAreaStd,Mo-KaChi2,Mo-KaArea,Mo-KaAreaStd,Rh-Ka-CohChi2,Rh-Ka-CohArea,Rh-Ka-CohAreaStd,Rh-Ka-IncChi2,Rh-Ka-IncArea,Rh-Ka-IncAreaStd,Au-LaChi2,Au-LaArea,Au-LaAreaStd,Pb-LaChi2,Pb-LaArea,Pb-LaAreaStd
LLANADA1a,1750,2,1.5,764,82,5.9,27955,192,1.1,-509,96,0.7,1360,191,1.1,65631,4249,3.6,-9108,515,2.6,11860,205,2.2,254513,734,0.7,5199,156,0.9,347,147,0.6,-160,179,0.8,1345,162,3.5,63116,381,1.3,107975,6607,1.4,-16422,6570,1.3,630,40,0.5,173,28,1.5,610,38,1,150,30,0.7,333,88,0.9,-3,28,0.8,2969,64,0.9,4902,92,1.3,23738,171,0.6,1727,107,1.7,15517,191,0.9,1066,168,0.4,958,212,1,45557,408,0.9,78369,601,0.5,183,25,0.7,297,31
LLANADA1a,1760,2,0.8,700,81,7.2,25217,184,2.5,-531,95,1,1452,194,1.1,62437,4417,3.4,-8727,511,2.7,11600,203,3.1,236227,718,0.5,4602,153,0.7,361,146,0.6,-173,182,0.4,1010,160,2.9,57386,376,0.9,110756,6523,1,-19224,6598,1.3,558,39,0.9,197,28,0.8,599,37,0.5,166,29,0.9,237,96,1,19,27,2,2740,63,0.9,4585,90,0.9,23272,173,0.2,1352,106,1.7,12161,184,0.5,822,166,0.5,881,210,1.1,43015,419,1,73304,657,0.7,199,28,0.6,277,48
LLANADA1a,1770,2,0.8,1315,83,7,39951,220,1.5,-401,93,0.9,1632,173,0.9,43173,3659,3.8,-7081,496,2.5,14330,206,3.5,274950,745,0.6,4252,144,0.5,642,139,1.2,248,160,0.5,1223,153,2.9,56901,335,1.4,83675,6064,1.3,-2996,5795,1.3,597,41,0.5,199,28,0.7,646,36,0.5,203,29,0.8,433,98,0.7,23,27,1.1,2368,59,1,4416,88,0.9,22542,170,0.8,1473,104,1.3,13529,186,0.5,618,161,0.4,544,204,1,39895,404,0.7,69483,642,0.9,195,28,0.9,232,48
LLANADA1a,1780,2,1.6,1672,87,6.7,26887,189,2.2,-728,95,0.8,2907,197,1.7,61666,4362,2.5,-7743,515,2.4,18247,220,4.3,243746,719,0.5,6748,163,0.3,460,150,0.8,-106,180,0.3,1227,162,2.6,70806,391,1.9,102602,6432,2.1,-15834,6493,1.7,618,40,0.4,234,30,0.9,714,39,0.5,256,32,0.8,424,75,0.5,61,29,2.2,2828,64,0.8,5578,95,0.9,24637,173,0.6,1739,107,1.3,13625,185,0.6,720,166,0.5,740,210,1.1,43224,396,1,74620,565,0.6,190,25,1,372,30
LLANADA1a,1790,2,1.5,475,79,7.2,20257,168,1.4,-475,93,0.5,2171,136,1.1,70122,427,1.6,-8232,186,3,10499,192,2.5,206476,485,0.5,4637,152,0.5,490,146,0.6,-409,150,0.8,978,159,2.7,52629,288,1.1,103818,285,1.2,-14084,399,1,608,40,0.7,195,29,0.5,629,36,0.8,204,29,0.4,297,99,0.6,29,28,1.2,2985,65,0.6,5232,95,1,23003,172,0.5,1541,108,0.7,9984,178,0.5,653,166,0.7,1044,208,1,41530,417,1,73027,656,0.9,212,29,0.3,248,49
LLANADA1a,1800,2,1.6,500,80,7.4,25728,186,1.7,-589,96,1,2175,198,1.1,73129,4470,3.3,-8010,512,3.2,12407,205,3.9,228812,701,0.5,4948,154,0.3,454,147,0.6,-453,180,0.6,1760,161,2.7,55167,370,1.6,95184,6493,1.8,-12531,6636,1.5,636,40,0.5,192,29,1.1,608,37,0.4,177,31,1.1,268,104,0.5,6,28,1.4,2972,64,0.6,5023,93,0.8,25165,177,1.3,1576,107,1,14781,193,0.5,751,167,0.5,378,211,1.4,43921,423,1.1,74508,664,0.7,209,28,1.3,362,51
LLANADA1a,1810,2,1.1,464,81,5.6,22849,178,1.5,-287,98,0.7,2084,180,1.6,76888,3561,4,-10727,567,3.1,12119,207,3,245301,738,0.4,4949,159,0.3,380,152,0.7,24,184,0.7,1026,164,3.3,54038,373,2.3,101315,6901,2.5,351,5432,1,556,41,0.9,217,29,0.5,622,37,0.5,187,30,1.1,487,104,0.7,50,29,1.2,3033,66,0.4,5292,95,1.2,25757,180,0.4,1847,110,1.1,13790,192,0.5,784,170,0.5,935,215,1.2,46345,433,1.4,78307,672,0.5,217,29,1,251,50
LLANADA1a,1820,2,1,458,75,6.7,19691,166,2.5,-352,92,1.5,2159,194,1.4,66456,4372,4,-4992,509,2.7,8872,192,2.9,206390,681,0.7,3259,146,0.6,125,142,1,-187,185,0.7,1009,155,3.4,43326,353,1.7,109545,6450,1.8,-22298,6567,1,488,40,0.5,135,27,0.9,540,35,0.7,219,29,0.6,236,73,0.4,66,27,0.7,2745,61,0.5,4371,87,1.1,22036,164,0.3,1458,102,0.8,13636,181,0.6,825,162,0.6,286,204,1,40885,386,1,70393,554,0.8,191,23,0.8,282,26
LLANADA1a,1820,2,1.1,443,76,5.4,19631,164,1,-288,92,0.7,1878,134,0.9,68432,420,4.5,-4668,189,2.4,9135,187,2.8,207081,485,0.9,3446,144,0.7,538,141,0.7,-495,146,0.8,1082,155,3.9,43391,268,1.2,103788,279,1.3,-18789,390,1.4,534,38,0.3,125,27,0.8,581,36,0.7,184,29,0,-69,1,0.5,55,29,1.4,2679,62,1.2,4461,88,0.8,22134,168,0.9,1544,104,1,13656,186,0.6,773,163,0.8,861,205,0.7,41076,411,0.9,70871,643,0.8,186,29,0.5,267,26
LLANADA1a,1820,2,0.8,521,76,4.6,19720,166,1.3,-419,92,0.6,1880,184,1.3,74504,3981,2.7,-4428,515,3.3,9068,192,2,206607,682,0.4,3377,146,0.5,349,142,0.3,-158,176,0.4,990,156,3.6,43356,346,1.5,90193,6503,1.6,-8974,6341,1.5,498,38,1.2,187,27,1,452,34,0.4,184,29,0.7,295,101,0.5,30,29,1.4,2683,62,0.6,4321,88,0.9,21961,167,1,1301,103,1.4,13644,187,0.4,769,162,0.6,898,206,1.2,40938,408,1.1,71606,644,0.4,200,28,0.6,200,48
