CoreID,Sample,Red,Green,Blue,l,a,b
ENCANYISSADA1a,737.041,97,81,66,64.004,2.934,10.382
ENCANYISSADA1a,737.111,99,83,70,64.643,3.392,8.976
ENCANYISSADA1a,737.181,106,90,76,66.779,2.982,9.045
ENCANYISSADA1a,737.251,106,90,75,66.776,2.743,9.621
ENCANYISSADA1a,737.321,111,92,75,67.516,3.387,10.885
ENCANYISSADA1a,737.391,112,93,74,67.801,2.897,11.957
ENCANYISSADA1a,737.461,119,99,82,69.564,3.597,10.407
ENCANYISSADA1a,737.532,121,101,82,70.112,3.11,11.34
ENCANYISSADA1a,737.602,119,97,77,69.094,3.703,12.417
ENCANYISSADA1a,737.672,120,97,77,69.143,4.07,12.503
ENCANYISSADA1a,737.742,110,89,72,66.734,4.236,11.331
ENCANYISSADA1a,737.812,101,82,67,64.488,4.146,10.578
ENCANYISSADA1a,737.882,96,77,63,62.885,4.575,10.418
ENCANYISSADA1a,737.952,89,72,59,61.094,4.158,10.046
ENCANYISSADA1a,738.022,90,72,60,61.158,4.874,9.475
ENCANYISSADA1a,738.092,104,86,72,65.678,3.87,9.53
ENCANYISSADA1a,738.162,107,91,77,67.076,2.961,8.974
ENCANYISSADA1a,738.232,97,83,70,64.533,2.568,8.786
ENCANYISSADA1a,738.302,90,76,65,62.275,3.252,8.073
ENCANYISSADA1a,738.372,90,76,62,62.264,2.449,10.013
ENCANYISSADA1a,738.442,95,79,63,63.358,2.72,11.22
ENCANYISSADA1a,738.512,95,79,64,63.361,2.981,10.573
ENCANYISSADA1a,738.582,95,79,65,63.365,3.241,9.933
ENCANYISSADA1a,738.652,97,79,65,63.479,4.084,10.129
ENCANYISSADA1a,738.722,109,89,71,66.678,3.61,11.838
ENCANYISSADA1a,738.792,111,90,72,67.028,3.97,11.832
ENCANYISSADA1a,738.862,106,86,68,65.773,3.689,12.14
ENCANYISSADA1a,738.932,107,89,72,66.576,3.067,11.059
ENCANYISSADA1a,739.003,104,90,74,66.668,1.714,10.021
ENCANYISSADA1a,739.073,100,86,73,65.466,2.51,8.565
ENCANYISSADA1a,739.143,96,82,71,64.224,3.098,7.65
ENCANYISSADA1a,739.213,95,81,70,63.905,3.122,7.717
ENCANYISSADA1a,739.283,93,79,69,63.265,3.433,7.24
ENCANYISSADA1a,739.353,98,83,71,64.591,3.233,8.278
ENCANYISSADA1a,739.423,99,84,71,64.901,2.959,8.805
ENCANYISSADA1a,739.493,95,81,67,63.895,2.351,9.561
ENCANYISSADA1a,739.563,90,77,65,62.544,2.526,8.531
ENCANYISSADA1a,739.633,89,76,65,62.216,2.816,7.972
ENCANYISSADA1a,739.703,98,85,72,65.102,2.12,8.543
ENCANYISSADA1a,739.773,100,85,73,65.215,3.185,8.139
ENCANYISSADA1a,739.843,104,88,74,66.179,3.025,9.191
ENCANYISSADA1a,739.913,106,88,75,66.289,4.055,8.793
ENCANYISSADA1a,739.983,102,85,72,65.32,3.744,8.919
ENCANYISSADA1a,740.053,100,82,68,64.436,3.989,9.861
ENCANYISSADA1a,740.123,106,86,68,65.773,3.689,12.14
ENCANYISSADA1a,740.193,108,89,69,66.619,2.739,12.96
ENCANYISSADA1a,740.263,108,89,69,66.619,2.739,12.96
ENCANYISSADA1a,740.333,106,88,69,66.269,2.605,12.363
