CoreID,Sample,Red,Green,Blue,l,a,b
SECANELLA_a,121.322,158,118,83,75.383,6.075,19.784
SECANELLA_a,121.393,157,118,83,75.34,5.761,19.709
SECANELLA_a,121.463,163,121,85,76.192,6.408,20.08
SECANELLA_a,121.533,168,127,89,77.565,5.55,20.3
SECANELLA_a,121.603,164,123,86,76.625,5.85,20.282
SECANELLA_a,121.673,160,120,84,75.866,5.821,20.063
SECANELLA_a,121.743,158,119,85,75.586,5.924,19.047
SECANELLA_a,121.813,159,120,86,75.829,5.893,18.925
SECANELLA_a,121.883,161,123,87,76.502,5.117,19.538
SECANELLA_a,121.953,160,121,86,76.068,5.672,19.331
SECANELLA_a,122.023,158,119,85,75.586,5.924,19.047
SECANELLA_a,122.093,154,116,83,74.81,5.896,18.807
SECANELLA_a,122.163,148,111,79,73.513,5.934,18.818
SECANELLA_a,122.233,148,110,79,73.306,6.497,18.466
SECANELLA_a,122.303,154,116,82,74.807,5.7,19.35
SECANELLA_a,122.373,148,109,76,73.089,6.456,19.811
SECANELLA_a,122.443,149,110,76,73.343,6.218,20.242
SECANELLA_a,122.513,145,107,74,72.526,6.197,20.019
SECANELLA_a,122.583,144,105,72,72.049,6.606,20.396
SECANELLA_a,122.653,143,105,72,72.002,6.269,20.316
SECANELLA_a,122.723,140,102,70,71.208,6.593,20.174
SECANELLA_a,122.793,141,103,71,71.475,6.554,20.021
SECANELLA_a,122.864,141,104,72,71.694,6.177,19.791
SECANELLA_a,122.934,139,103,72,71.384,6.083,19.262
SECANELLA_a,123.004,133,98,69,69.984,6.355,18.704
SECANELLA_a,123.074,136,100,70,70.578,6.409,19.101
SECANELLA_a,123.144,146,108,76,72.788,6.367,19.298
SECANELLA_a,123.214,153,113,80,74.15,6.636,19.343
SECANELLA_a,123.284,161,119,84,75.712,6.666,19.803
SECANELLA_a,123.354,168,125,88,77.181,6.396,20.173
SECANELLA_a,123.424,171,128,92,77.884,6.487,19.3
SECANELLA_a,123.494,167,125,92,77.15,6.839,18.051
SECANELLA_a,123.564,168,127,94,77.577,6.474,17.766
SECANELLA_a,123.634,175,133,99,78.992,6.403,17.707
SECANELLA_a,123.704,178,136,100,79.661,5.962,18.362
SECANELLA_a,123.774,176,133,96,79.025,6.156,19.233
SECANELLA_a,123.844,179,136,99,79.698,6.072,18.909
SECANELLA_a,123.914,181,138,103,80.146,6.367,17.757
SECANELLA_a,123.984,179,137,100,79.881,5.758,18.736
SECANELLA_a,124.054,177,135,99,79.437,5.989,18.465
SECANELLA_a,124.124,176,135,100,79.4,5.878,17.918
SECANELLA_a,124.194,178,137,102,79.847,5.825,17.72
SECANELLA_a,124.264,184,142,106,80.98,5.804,17.773
SECANELLA_a,124.335,186,144,106,81.408,5.411,18.5
SECANELLA_a,124.405,173,131,95,78.533,6.102,18.892
SECANELLA_a,124.475,176,135,97,79.393,5.344,19.365
SECANELLA_a,124.545,175,135,99,79.358,5.411,18.329
SECANELLA_a,124.615,175,135,100,79.361,5.589,17.85
SECANELLA_a,124.685,179,138,102,80.066,5.623,18.093
SECANELLA_a,124.755,179,138,103,80.068,5.798,17.623
SECANELLA_a,124.825,183,141,106,80.765,6.002,17.407
SECANELLA_a,124.895,184,141,104,80.799,5.937,18.398
SECANELLA_a,124.965,182,141,105,80.725,5.548,17.801
SECANELLA_a,125.035,177,136,101,79.624,5.851,17.818
SECANELLA_a,125.105,174,134,100,79.138,5.794,17.471
SECANELLA_a,125.175,172,132,100,78.69,6.209,16.708
SECANELLA_a,125.245,174,136,104,79.513,5.519,16.205
SECANELLA_a,125.315,167,129,97,77.921,5.704,16.858
SECANELLA_a,125.385,170,131,99,78.422,5.945,16.734
SECANELLA_a,125.455,173,134,100,79.099,5.503,17.402
SECANELLA_a,125.525,175,135,100,79.361,5.589,17.85
SECANELLA_a,125.595,181,140,105,80.508,5.747,17.433
SECANELLA_a,125.665,177,135,100,79.44,6.167,17.986
SECANELLA_a,125.736,173,131,96,78.535,6.282,18.4
SECANELLA_a,125.806,168,127,93,77.575,6.29,18.265
SECANELLA_a,125.876,174,134,100,79.138,5.794,17.471
SECANELLA_a,125.946,175,134,98,79.173,5.727,18.501
SECANELLA_a,126.016,169,127,92,77.613,6.404,18.839
SECANELLA_a,126.086,168,128,94,77.766,5.961,18.086
SECANELLA_a,126.156,166,126,92,77.3,6.02,18.304
SECANELLA_a,126.226,167,128,95,77.728,5.847,17.52
SECANELLA_a,126.296,173,131,97,78.538,6.463,17.911
SECANELLA_a,126.366,182,139,103,80.364,6.164,18.128
SECANELLA_a,126.436,179,136,99,79.698,6.072,18.909
SECANELLA_a,126.506,179,136,98,79.695,5.895,19.391
SECANELLA_a,126.576,178,137,101,79.844,5.648,18.193
SECANELLA_a,126.646,177,135,100,79.44,6.167,17.986
SECANELLA_a,126.716,180,138,102,80.105,5.908,18.16
SECANELLA_a,126.786,180,138,102,80.105,5.908,18.16
SECANELLA_a,126.856,176,134,99,79.215,6.195,18.087
SECANELLA_a,126.926,174,132,96,78.761,6.073,18.783
SECANELLA_a,126.996,168,127,91,77.57,5.92,19.275
SECANELLA_a,127.066,171,129,94,78.076,6.342,18.616
SECANELLA_a,127.136,174,132,96,78.761,6.073,18.783
SECANELLA_a,127.207,173,132,96,78.721,5.78,18.714
SECANELLA_a,127.277,170,131,95,78.412,5.217,18.684
SECANELLA_a,127.347,168,128,91,77.759,5.408,19.596
SECANELLA_a,127.417,171,130,93,78.261,5.653,19.433
SECANELLA_a,127.487,178,135,98,79.475,6.099,19.016
SECANELLA_a,127.557,177,134,97,79.25,6.127,19.124
SECANELLA_a,127.627,174,131,94,78.571,6.214,19.458
SECANELLA_a,127.697,176,134,98,79.213,6.017,18.57
SECANELLA_a,127.767,176,135,99,79.398,5.7,18.397
SECANELLA_a,127.837,172,131,94,78.49,5.626,19.319
SECANELLA_a,127.907,174,132,96,78.761,6.073,18.783
SECANELLA_a,127.977,167,126,91,77.338,6.135,18.882
SECANELLA_a,128.047,172,129,93,78.115,6.456,19.186
SECANELLA_a,128.117,177,134,96,79.248,5.949,19.613
SECANELLA_a,128.187,171,129,92,78.072,5.977,19.619
SECANELLA_a,128.257,168,125,89,77.184,6.582,19.654
SECANELLA_a,128.327,176,133,96,79.025,6.156,19.233
SECANELLA_a,128.397,178,135,99,79.477,6.277,18.533
SECANELLA_a,128.467,172,129,93,78.115,6.456,19.186
SECANELLA_a,128.537,172,129,93,78.115,6.456,19.186
SECANELLA_a,128.607,170,128,92,77.843,6.19,19.23
SECANELLA_a,128.678,170,127,91,77.652,6.518,19.416
SECANELLA_a,128.748,175,131,94,78.611,6.506,19.527
SECANELLA_a,128.818,175,131,95,78.613,6.687,19.031
SECANELLA_a,128.888,178,135,99,79.477,6.277,18.533
SECANELLA_a,128.958,176,134,99,79.215,6.195,18.087
SECANELLA_a,129.028,172,130,96,78.309,6.494,18.015
SECANELLA_a,129.098,167,125,90,77.145,6.467,19.069
SECANELLA_a,129.168,167,124,89,76.951,6.801,19.258
SECANELLA_a,129.238,173,130,93,78.342,6.243,19.572
SECANELLA_a,129.308,174,131,94,78.571,6.214,19.458
SECANELLA_a,129.378,171,128,92,77.884,6.487,19.3
SECANELLA_a,129.448,171,128,92,77.884,6.487,19.3
SECANELLA_a,129.518,172,128,91,77.922,6.6,19.877
SECANELLA_a,129.588,174,130,92,78.38,6.356,20.145
SECANELLA_a,129.658,175,131,94,78.611,6.506,19.527
SECANELLA_a,129.728,172,129,92,78.112,6.273,19.689
SECANELLA_a,129.798,170,128,90,77.838,5.822,20.247
SECANELLA_a,129.868,167,124,87,76.946,6.428,20.298
SECANELLA_a,129.938,168,125,88,77.181,6.396,20.173
SECANELLA_a,130.008,168,124,85,76.982,6.357,21.426
SECANELLA_a,130.078,167,123,85,76.748,6.576,21.028
SECANELLA_a,130.149,168,123,85,76.79,6.879,21.1
SECANELLA_a,130.219,169,124,86,77.027,6.845,20.968
SECANELLA_a,130.289,168,124,87,76.987,6.73,20.37
SECANELLA_a,130.359,171,126,88,77.496,6.778,20.709
SECANELLA_a,130.429,173,127,89,77.769,7.042,20.653
SECANELLA_a,130.499,168,124,87,76.987,6.73,20.37
SECANELLA_a,130.569,167,123,86,76.751,6.763,20.498
SECANELLA_a,130.639,168,124,87,76.987,6.73,20.37
SECANELLA_a,130.709,168,123,86,76.793,7.066,20.57
SECANELLA_a,130.779,168,125,88,77.181,6.396,20.173
SECANELLA_a,130.849,165,124,88,76.865,6.008,19.633
SECANELLA_a,130.919,158,117,84,75.186,6.809,18.907
SECANELLA_a,130.989,159,117,83,75.227,6.929,19.521
SECANELLA_a,131.059,163,120,84,75.994,6.749,20.283
SECANELLA_a,131.129,170,126,89,77.457,6.664,20.12
SECANELLA_a,131.199,169,125,88,77.223,6.697,20.244
SECANELLA_a,131.269,170,125,87,77.262,6.811,20.837
SECANELLA_a,131.339,169,125,87,77.22,6.511,20.766
SECANELLA_a,131.409,164,120,83,76.034,6.867,20.895
SECANELLA_a,131.479,165,121,83,76.272,6.643,21.299
SECANELLA_a,131.549,167,123,86,76.751,6.763,20.498
SECANELLA_a,131.62,169,125,88,77.223,6.697,20.244
SECANELLA_a,131.69,168,124,87,76.987,6.73,20.37
SECANELLA_a,131.76,168,123,86,76.793,7.066,20.57
SECANELLA_a,131.83,170,125,87,77.262,6.811,20.837
SECANELLA_a,131.9,167,123,84,76.746,6.389,21.562
SECANELLA_a,131.97,167,123,85,76.748,6.576,21.028
SECANELLA_a,132.04,167,124,87,76.946,6.428,20.298
SECANELLA_a,132.11,166,122,85,76.513,6.797,20.628
SECANELLA_a,132.18,168,123,85,76.79,6.879,21.1
SECANELLA_a,132.25,168,123,85,76.79,6.879,21.1
SECANELLA_a,132.32,165,121,83,76.272,6.643,21.299
SECANELLA_a,132.39,164,121,84,76.232,6.525,20.688
SECANELLA_a,132.46,165,123,88,76.672,6.531,19.306
SECANELLA_a,132.53,168,125,88,77.181,6.396,20.173
SECANELLA_a,132.6,166,123,86,76.709,6.46,20.426
SECANELLA_a,132.67,160,118,83,75.469,6.7,19.932
SECANELLA_a,132.74,160,118,83,75.469,6.7,19.932
SECANELLA_a,132.81,164,121,85,76.234,6.715,20.153
SECANELLA_a,132.88,169,125,88,77.223,6.697,20.244
SECANELLA_a,132.95,172,128,90,77.919,6.417,20.388
SECANELLA_a,133.02,168,124,86,76.985,6.544,20.896
SECANELLA_a,133.091,169,125,87,77.22,6.511,20.766
SECANELLA_a,133.161,178,134,96,79.287,6.238,19.681
SECANELLA_a,133.231,178,133,94,79.099,6.378,20.359
SECANELLA_a,133.301,174,129,90,78.188,6.499,20.846
SECANELLA_a,133.371,172,128,90,77.919,6.417,20.388
SECANELLA_a,133.441,167,124,86,76.943,6.241,20.824
SECANELLA_a,133.511,168,125,87,77.179,6.21,20.695
SECANELLA_a,133.581,168,126,90,77.377,6.25,19.463
SECANELLA_a,133.651,168,127,91,77.57,5.92,19.275
SECANELLA_a,133.721,171,128,93,77.886,6.67,18.797
SECANELLA_a,133.791,178,135,99,79.477,6.277,18.533
SECANELLA_a,133.861,178,136,100,79.661,5.962,18.362
SECANELLA_a,133.931,174,131,96,78.576,6.575,18.469
SECANELLA_a,134.001,176,132,96,78.841,6.655,18.921
SECANELLA_a,134.071,180,136,99,79.737,6.358,18.977
SECANELLA_a,134.141,179,135,98,79.514,6.387,19.083
SECANELLA_a,134.211,179,134,97,79.329,6.704,19.26
SECANELLA_a,134.281,178,133,95,79.102,6.557,19.863
SECANELLA_a,134.351,173,128,90,77.96,6.713,20.458
SECANELLA_a,134.421,173,128,91,77.963,6.896,19.948
SECANELLA_a,134.491,172,128,90,77.919,6.417,20.388
SECANELLA_a,134.562,170,126,88,77.455,6.479,20.638
SECANELLA_a,134.632,168,125,88,77.181,6.396,20.173
SECANELLA_a,134.702,169,124,87,77.029,7.031,20.442
SECANELLA_a,134.772,169,124,86,77.027,6.845,20.968
SECANELLA_a,134.842,167,122,84,76.553,6.914,21.235
SECANELLA_a,134.912,167,122,84,76.553,6.914,21.235
SECANELLA_a,134.982,168,123,85,76.79,6.879,21.1
SECANELLA_a,135.052,169,123,85,76.832,7.181,21.172
SECANELLA_a,135.122,170,125,87,77.262,6.811,20.837
SECANELLA_a,135.192,166,121,84,76.316,7.137,20.833
SECANELLA_a,135.262,168,122,85,76.597,7.404,20.773
SECANELLA_a,135.332,172,126,88,77.537,7.076,20.78
SECANELLA_a,135.402,173,127,89,77.769,7.042,20.653
SECANELLA_a,135.472,172,126,88,77.537,7.076,20.78
SECANELLA_a,135.542,171,125,86,77.3,6.926,21.435
SECANELLA_a,135.612,169,124,85,77.024,6.659,21.498
SECANELLA_a,135.682,167,122,83,76.55,6.726,21.773
SECANELLA_a,135.752,165,120,82,76.074,6.984,21.511
SECANELLA_a,135.822,167,122,84,76.553,6.914,21.235
SECANELLA_a,135.892,168,123,85,76.79,6.879,21.1
SECANELLA_a,135.962,169,124,85,77.024,6.659,21.498
SECANELLA_a,136.033,170,125,85,77.257,6.441,21.893
SECANELLA_a,136.103,165,120,81,76.071,6.794,22.058
SECANELLA_a,136.173,164,119,80,75.83,6.829,22.204
SECANELLA_a,136.243,164,118,81,75.635,7.556,21.318
SECANELLA_a,136.313,165,120,82,76.074,6.984,21.511
SECANELLA_a,136.383,167,121,83,76.356,7.253,21.444
SECANELLA_a,136.453,170,125,85,77.257,6.441,21.893
SECANELLA_a,136.523,169,124,86,77.027,6.845,20.968
SECANELLA_a,136.593,169,123,84,76.829,6.994,21.706
SECANELLA_a,136.663,171,124,85,77.107,7.26,21.641
SECANELLA_a,136.733,174,129,91,78.191,6.681,20.335
SECANELLA_a,136.803,174,129,92,78.193,6.863,19.829
SECANELLA_a,136.873,171,125,86,77.3,6.926,21.435
SECANELLA_a,136.943,172,124,84,77.146,7.374,22.247
SECANELLA_a,137.013,171,125,85,77.298,6.741,21.965
SECANELLA_a,137.083,169,124,86,77.027,6.845,20.968
SECANELLA_a,137.153,170,125,87,77.262,6.811,20.837
SECANELLA_a,137.223,176,132,94,78.836,6.296,19.91
SECANELLA_a,137.293,176,132,95,78.838,6.476,19.414
SECANELLA_a,137.363,182,137,98,79.993,6.262,19.9
SECANELLA_a,137.433,183,138,99,80.214,6.234,19.789
SECANELLA_a,137.504,175,130,93,78.423,6.83,19.712
SECANELLA_a,137.574,172,128,91,77.922,6.6,19.877
SECANELLA_a,137.644,179,135,97,79.512,6.21,19.569
SECANELLA_a,137.714,183,140,103,80.581,5.963,18.497
SECANELLA_a,137.784,181,139,102,80.323,5.707,18.531
SECANELLA_a,137.854,177,134,98,79.253,6.306,18.638
SECANELLA_a,137.924,175,133,97,78.987,6.045,18.676
SECANELLA_a,137.994,173,130,93,78.342,6.243,19.572
SECANELLA_a,138.064,172,130,92,78.299,5.766,20.006
SECANELLA_a,138.134,171,127,91,77.693,6.815,19.487
SECANELLA_a,138.204,171,127,91,77.693,6.815,19.487
SECANELLA_a,138.274,170,127,91,77.652,6.518,19.416
SECANELLA_a,138.344,168,126,91,77.38,6.435,18.953
SECANELLA_a,138.414,170,127,92,77.654,6.702,18.91
SECANELLA_a,138.484,167,125,89,77.143,6.281,19.583
SECANELLA_a,138.554,167,125,90,77.145,6.467,19.069
SECANELLA_a,138.624,168,124,88,76.99,6.916,19.848
SECANELLA_a,138.694,169,124,87,77.029,7.031,20.442
SECANELLA_a,138.764,168,123,85,76.79,6.879,21.1
SECANELLA_a,138.834,166,122,85,76.513,6.797,20.628
SECANELLA_a,138.904,168,125,87,77.179,6.21,20.695
SECANELLA_a,138.975,173,129,90,78.148,6.204,20.776
SECANELLA_a,139.045,176,132,93,78.833,6.117,20.409
SECANELLA_a,139.115,177,133,94,79.06,6.088,20.291
SECANELLA_a,139.185,176,132,94,78.836,6.296,19.91
SECANELLA_a,139.255,174,131,93,78.568,6.033,19.957
SECANELLA_a,139.325,172,130,93,78.302,5.949,19.503
SECANELLA_a,139.395,170,127,90,77.649,6.334,19.927
SECANELLA_a,139.465,170,126,89,77.457,6.664,20.12
SECANELLA_a,139.535,168,123,87,76.795,7.253,20.044
SECANELLA_a,139.605,169,124,86,77.027,6.845,20.968
SECANELLA_a,139.675,169,124,88,77.032,7.217,19.92
SECANELLA_a,139.745,167,124,89,76.951,6.801,19.258
SECANELLA_a,139.815,169,126,91,77.421,6.735,19.024
SECANELLA_a,139.885,173,130,92,78.339,6.062,20.075
